"username","rating","helpful","total","date","title","review"
"jem132","10","18","22","15 June 2007"," An Endurable Fantasy...Will Continue To Last For Many Years Yet...
","Probably the world's most-watched film (GONE WITH THE WIND running a close second), THE WIZARD OF OZ is an enduring, magical piece of fantasy that has permeated popular culture like no other film before or since. There are hundreds of unforgettable, instant-classic moments in the film, with the Yellow Brick Road, Dorothy and Toto, the songs, Garland's dazzling ruby red slippers, sepia-toned Kansas and the closing line ""There's no place like a home!"" just a few of the wondrous delights that THE WIZARD OF OZ offers.<br/><br/>It is hard to believe that the filing of ""Oz"" was so fraught with problems when you view the finished product. It seems a thing of absolute perfection, with Garland's casting a stroke of genius. Her wistful interpretation of ""Somewhere Over The Rainbow"" is the stuff of legend. The spellbinding Technicolour photography is still a massive achievement, as is Oz, the utopia land of dreams and magic.<br/><br/>Most audiences discover the film in childhood, and they will be pleased to find out that the film is just as magical when viewed as an adult, perhaps many years later, if not more."
"drk1996","10","18","22","12 November 2005"," Great movie....one of the best
","I am 51 years old and can remember watching this as a child. It was a major event in our house. Staying up late to watch the whole movie was a treat. It is still a treat to watch it now. As I sit here watching it on TBS while typing this posting, you can't help but sing along with the songs. I can remember being scared to death by the witch. Her laugh gave me the heebie-jeebies. Movies from this era were so well made. To attempt to make this kind of production today would cost much more than any film made. Today computers make special effects so easy. Back then you had to very ingenious to have believable special effects. This is one of my top 10 movies off all time. It makes you feel like a kid again, and isn't that what a movie is suppose to do, take you to another time and place. Those that don't understand are entitled to their opinions, but they really don't understand the real world. The more advanced the mind, the more need for play (or fun and escape). Just my humble opinion and something to think about."
"chris_gaskin123","10","15","18","24 January 2005"," The best fantasy of all time
","I have seen The Wizard of Oz lots of times and never tire of it. It has to be the best fantasy movie ever made.<br/><br/>A twister sends Dorothy, her dog Toto and their home to the magical land of Oz. When there, she first discovers her home has crushed the Wicked Witch of the East to death and the area of Oz she has landed in is Munchkin Land. After a visit from the Good Witch of the North, some songs with the munchkins and an unpleasant visit from the Wicked Witch of the West, she starts to make her way along the Yellow Brick Road to the Emarald City to visit the Wizard himself who can get her back home to Kansas. On the way, she meets up with the Scarecrow, Tin Man and Cowardly Lion and they eventually end up at the Emarald City. Before eventually meeting the Wizard, she is kidnapped by the Wicked Witch of the West's strange monkey-bat creature slaves and locked up in her castle but is rescued and the Witch disintegrates when some water is thrown over her. Dorothy then gets to see the Wizard, who gives the Scarecrow his brain, the Tin Man his heart and the Cowardly Lion his courage. The Wizard turns out to be a Kansas person as well but his balloon is accidentally released and Dorothy misses out on returning home with him. She returns home by saying ""There's No Place Like Home"" but all this turns out to be a dream at the end.<br/><br/>The best song in the movie has to be ""Somewhere Over the Rainbow"", which Dorothy sings before she gets to Oz.<br/><br/>Now to the excellent cast. Judy Garland plays her best role as Dorothy and is joined by Frank Morgan who has five roles, Burt Lahr, Ray Bolger, Jack Haley and an excellent performance from Margaret Hamilton as the Wicked Witch of the West.<br/><br/>This movie is an excellent way to spend part of an afternoon, not just at Christmas when most TV channels screen it. The VHS copy I own also features some extras, including one on the making of the move.<br/><br/>Rating: 5 stars out of 5."
"ma-cortes","8","12","14","3 February 2014"," Classic fairy tale with dazzling fantasy , colorful images , impressive songs and enjoyable roles
","Marvelous tale in which Dorothy Gale (Judy Garland , she had to wear a painful corset-style device around her torso so that she would appear younger and flat-chested) is swept away to a magical location in a tornado and being transported on the land of Oz she embarks on a quest to see the Wizard (Frank Morgan , he plays various characters) who can help her return home . The film opens in sepia-tone academy ratio for the Kansas scenes, before widening out and blooming into full color in Oz . There appears Dorothy and her dog when she is hurled away from dusty Kansas to the vibrant Land of Oz. She's helped by the Good Witch of the North (Billie Burke) , but she's also in trouble with the Wicked Witch of the West (Margaret Hamilton, many of her scenes were either trimmed or deleted entirely, her performance was thought too frightening for audiences) . Reluctantly drawn into the problems facing the Land of Oz and its inhabitants, Dorothy must find out who is good and who is evil before it is too late. On her way she meets the Munchkins (they are portrayed by the Singer Midgets, named not for their musical abilities ,the troupe came from Europe to immigrate and escape the Nazis) , a Scarecrow (Ray Bolger , face makeup wore consisted, in part, of a rubber prosthetic with a woven pattern to suggest cloth) who needs a brain, a Tin Man (Jack Haley who wrote additional dialogue) who wants a heart, and a Cowardly Lion (Bet Lahr , he wrote additional dialogue , too) who desperately needs courage . Putting their arts to use through illusion, ingenuity-and even a bit of wizardry they transform themselves not only into the great and powerful helpers of Oz but into the better friends as well . <br/><br/>This is an agreeable film for children of all ages based on the all-time classic by Frank Baum . This engrossing picture contains powerful ,haunting images and immortal songs ,in fact the song ""Over the Rainbow"" was ranked #1 by the American Film Institute in 2004 on the 100 Greatest Songs in American Films list . Beautiful scenery , colorful cinematography by Harold Rosson , spirited adventure and a stirring climax lift this story . It is a genuine as well as imaginative tale written and directed with great sensibility , fairness and imagination. It's plenty of scenes that stay in the mind as when Dorothy/Judy Garland appears at the 'other side' that results to be the fantastic as well as glowing world of OZ . There's something for everyone here ; fans of fantasy , fans of magic and necromancy , fans of incredible adventures , should all find something to enjoy about this film . A perfect cast and enjoyable secondaries in the perfect fantasy . As a likable acting by Judy Garland as an adorable girl who is swept away to an enchanted land . Sympathetic support cast such as Ray Bolger , Billy Burke , Charles Grapewin , Jack Haley , Frank Morgan and Margaret Hamilton as witch ; among others . Spectacular and glamorous sets , production designer Cedric Gibbons studied the films of Walt Disney classic films to achieve the appropriate Art Deco design for the Emerald City of Oz . The film was completely shot in studio , the only location footage in the entire film are the clouds over the opening titles . The director opted to use practical sets in conjunction with matte painting . The motion picture was stunningly directed by Victor Fleming , though supported by other notorious as well as uncredited filmmakers such as George Cukor , Norman Taurog , King Vidor and Mervyn LeRoy , also producer . However , Richard Thorpe, the original director of the film, had shot around two weeks of footage before he was fired . A recent study claimed that this is the most watched movie in film history, largely due to the number of television screenings each year as well as video which has enabled children of every generation to see it. <br/><br/>This story about OZ has been adapted several times such as : An old and mute version (1925) , this classic and the best rendition , the MGM release ¨The wizard of Oz¨ (1939) by Victor Fleming with Judy Garland , remade in 1978 as ¨The Wiz¨ by Sidney Lumet with Diana Ross , Richard Pryor and Michael Jackson and ¨Return to Oz¨ (1985) by Walter Murch with Fauriza Falk ,Nicol Williamson, Matt Clark and Piper Laurie . And recent prequel (2013) by Sam Raimi titled ¨Oz the Great and Powerful¨ with James Franco as Oz , Mila Kunis as Theodora , Rachel Weisz as Evanora and Michelle Williams as Annie ."
"georgecoffeynewyorker","10","9","10","17 September 2014"," Fantastic Score Great childhood movie
","Well what a movie this classic was. I hadn't seen this movie in years. I can vaguely recall it even. However when I went along to it, It slowly came back to me. And I MEAN slowly. The plot was quite simple, in that Dororthy(Garland) is shushwed up ie swept up in a tornado into a fantasy land. The tornado was so real like, the one in Into the Storm(Review here). It was so impressive. So anyways, Dorothy then is found in a new place and is woken up to Munchkins. Then it is found that there are TWO wicked witches. One of the East)(whom was killed with Dorothy's house) and the Wicked Witch of the West(Hamilton). The Good Witch is also there and helps Dorothy out. Dorothy wanted to return home. However she has to Follow the Yellow Brick Road. People who know me, will know my love for music in Movies. Well this one surely did not disappoint me. I was happily singing all the songs. One thing I did notice was that the songs that were being song I was saying to myself: ""Oh so this is where the song came from"". On the way to the Wizard, Dorothy encounters Scarecrow(Bolger), Tin Man(Haley) and the Lion(Lahr). She told them as she met them on her travels, that she's going to the Wizard in the Emerald City to ask to be sent back home, while so Scarecrow wanted a Brain, Tin Man wanted a Heart, and the Lion wanted Courage. So a conflict ensues with the 4 of them and the Witch. As with any childhood movie, the Winning character is always what I want all the time not the ""baddie"". Then quite a shocker for me personally. Not sure abotu the rest of yeeee, but the Scarecrow, Tin Man, and the Lion and the ""Wizard"" are all her own family. Which I was saying: ""Isn't that....."" etc., Great childhood movie. Ohhh and the quotes, just unreal. One quote: When the Lion was requesting his Courage: ""What makes a King out of a slave? Courage!"" and the most one quote that really went through me: Considering my heart was broken by my first ex: You don't know how lucky you are not to have one. Hearts will never be practical until they can be made unbreakable."" and another quote relating to the heart: "": A heart is shown not by how much you love, but by how much you are loved by others."" So the movie ended on as always with a childhood(well the one's I've seen - hhaha) on a positive note. The Wicked Witch of the WEST, had been defeated. Dorothy was heading back. It was made out to be of a DREAM."
"maggie-799-405720","10","9","10","6 October 2013"," What a great movie!
","I think everyone everywhere should watch this movie every year. Well I guess that is a bit much. I do believe, I do believe so says the cowardly lion in this wonderful tale. It has everything, black and white, a dog, a girl that can really sing, a lesson to be learned by all and of course a Wizard. I don't want to spoil this movie so if you haven't seen it I would suggest you go and buy it as soon as you can. I recently saw the re released 3 D version and thoroughly enjoyed it. What fun it was to see it in a big theater with lots of people who love this movie and it reminds many people of their childhood. I do wish there was a real place like Oz where you wouldn't have to go to work till at one but take an hour for lunch and then at two we're done! Jolly good fun."
"ShelbyTMItchell","10","9","10","30 September 2013"," Yellow Brick Memories!
","We all have memories of this movie as if nobody has seen this movie just yet, then they are missing out on this treasure. As it is indeed just that you see.<br/><br/>Dorothy played by the late, great Judy Garland, is a teenager in KS as she gets swept up on a tornado. As she finds herself in the Land of Oz. With her beloved Toto the dog, they find themselves in such a weird but happy land.<br/><br/>Where she runs into the Scarecrow, Tin Man,and Lion. Who are in need of brain, heart, and courage respectfully. But the Oz person is not who they seem to be. If you did not see this, near the end.<br/><br/>There is also one good witch and one bad witch. The latter happened to be a mean woman trying to sell off Toto from a crying Dorothy. Still really a sweet and really funny movie.<br/><br/>You do not get much movies like this!"
"meg_elizabeth","10","9","10","24 September 2013"," Timeless
","""And you, and you, and you were there."" All of Dorothy's friends look at her as if she was crazy, assuring her that her adventure was just a dream. Was it really just a dream? How could it be, when it seemed so real? In Viktor Fleming's, ""The Wizard of Oz"", dream is made into reality and reality into dream. ""The Wizard of Oz"" is a classical masterpiece in which breathtaking design, performance and a heart-warming storyline combine to create a movie in its very own category.<br/><br/>In Kansas, a twister hits Dorothy's home and she is hit by a window, falling into her dreamland of Oz. We follow Dorothy (Judy Garland) on her quest for the Wizard of Oz, in the land of munchkins, evil and good witches, and many more interesting characters. The Scarecrow (Ray Bolger), Cowardly Lion (Bert Lahr), and Tin Man (Jack Haley) are just some of the friends, with their own problems, that she meets on her way. The story is all about ""following the yellow brick road"" as ""we're off to see the wizard.""<br/><br/>The screenplay was adapted from Frank T. Baum's story chronicle, The Wizard of Oz. It was produced by Mervyn Leroy and acted out by a first class list of actors. Perhaps the most important factors of this movie are the Technicolor (this is the first movie in color), the songs (that you'll never forget and never get enough of), and the ubiquitous theme/moral of ""there's no place like home.""<br/><br/>The plot is very easy to follow and straightforward. Despite the seemingly unrealistic storyline of wizards, a land of munchkins, flying monkeys, and bad witches flying on broomsticks, viewers can't help but fall into the fantasy of it all and imagine there really is such a place ""somewhere over the rainbow."" The characters are all believable and you seem able to relate to them and know at least one person in your life like them. People love the Scarecrow, Tin Man, and Cowardly Lion for their loyalty and personal quirks, and loathe the Wicked Witch of the West for being so sinfully evil. The dialogue is also very amusing, with a deeper meaning than most would conceive at first. There are many hidden messages of friendship, loyalty, and seeing what's right in front of you all along. <br/><br/>The actors are very convincing as their characters, all seemingly to step right out from the original story. Judy Garland perhaps was the best choice for Dorothy because the viewer just can't help but fall in love and sympathize for her when they see those big brown eyes staring back at them from the screen. She has a raw performance in which you can feel each emotion through her expression. From the moment Dorothy opens her front door after landing in Oz and exclaims ""Oh!"" the screen is filled with bright and vibrant color, a sharp contrast from the dull black and white from a second before. The significance of this is not lost, as the use of color is artfully done throughout the movie. The Technicolor sets the film apart because it is the first picture to be in color. During the movie the ever present yellow brick road takes the viewer through a journey of colorful and unique places, like the charming Munchkin Land and eerily spooky Haunted Forest.<br/><br/>This film is one that's timeless for a good reason. The acting is wonderful as is the set, themes, and dramatic aspects. The ""Wizard of Oz"" was one of a kind when it first came out and 75 years later it still touches people's hearts. The movie keeps the audience's interest and you walk away from it smiling. After watching the movie, it will give you a deeper respect for what you are and have. As Dorothy says, ""There's no place like home,"" well, there's no movie like the Wizard of Oz."
"swpesto","10","9","10","6 August 2013"," Excellent Work
","The Wizard of Oz with always be treasured throughout centuries. It is a piece of art. So magical. So beautiful. Judy Garland is so poised as Dorothy even at the young age of 16. The music and dancing are wonderful. Roy Bolger is awesome as ""The Scarecrow"". Such talent went into the casting of the film. Such special effects for a film almost putting it way before it's time. I feel some of these effects have been carried through with future films that have been made. Each film learns from the other. I will always love ""The Wizard of Oz. Looking forward to the recent films that will continue the Oz series. I loved James Franco's portrayal in ""Oz the Great and Powerful"". Still nothing will come to the magic of the original."
"johnstonjames","10","9","10","12 September 2010"," There's No Place Like 'OZ'
","i love 'Oz'. and NO i do'nt mean some stupid jail cell. anyone who associates 'Oz' with a prison should probably be locked in one. Just like 'candyman' from 'Willy Wonka' doesn't mean some scary black guy spewing bees from his mouth. Jeez. i can't believe some of the connections i've heard people make over the years.<br/><br/>i'm not going to say much because there's not much more you can say about this film that the fan base hasn't already gushed out with enthusiasm.<br/><br/>the songs and dialogue are great. in fact they are extremely witty and totally hilarious. people underestimate how truly funny this film really is. they often play up the sentimental elements and forget how truly funny all this really is.<br/><br/>not to mention how nightmarish and disturbing it all gets. i don't know about you all, but the flying monkey's and the wicked witch still scare the heckameyer out of me."
"Coxer99","9","43","61","4 June 1999"," The Wizard of Oz
","Fantastic tale about a Kansas farm girl who's spirited off to the wondrous land of Oz. The film still tingles with freshness and beauty. Garland is forever memorable as Dorothy Gale, the young girl and the supporting performances of Bolger, Lahr,Haley, Hamilton and Morgan are all stand out and will remain national treasures. The superb songs of E.Y. Harburg and Harold Arlen are still beautifully blended with the lovely photography, cinematography and art direction. Unforgettable!!!"
"emilhagberg-84632","10","5","5","23 November 2018"," One of the geatest movies ever!
","This is one of the best movies ever made. I saw it on TV once and then I bought on DVD (and later on BD) and no matter how old this movie gets, it's still gonna be considered one of the best movies ever."
"fashiondiva6","10","8","9","28 February 2015"," A girl who goes runs away and wakes up in a new city.
","This movie is literally a classic for all generations. The different changes made it what it is today. The most memorable part for me is when the Dorothy comes out of the house and if goes from sepia to color. The plot line is good and easy to follow it's great for all ages. The Wizard of Oz is a solid memory to have as a child. Dorothy role was so strong and solid and shows what can ""happen"" when you want to run away. The effects in the movie are great, when the evil which first makes her appearance it's big and dramatic. Her entrance describes her character right then and there. When Glinda the good witch makes her appearance she comes in sweet and smoothly. That describes her character for the rest of the movie. I will always give this movie a 10/10."
"ironhorse_iv","9","8","9","10 May 2014"," We're off to see the Wizard! The Wonderful Wizard of OZ! This movie is so magical!
","Directed by Victor Fleming, the 1939 musical fantasy film produced by Metro-Goldwyn-Mayer, is probably the most well-known and commercial adaptation based on the 1900 novel The Wonderful Wizard of Oz by L. Frank Baum. While the film is so dated, it's still watchable even today becoming part of American pop culture. The film is known for its use of Technicolor, fantasy storytelling, musical score and unusual characters. The movie starts out amazing black and white, with Dorothy Gale (Judy Garland), a young farm girl who lives with her Aunt and Uncle, in Kansas in the early 1900s. She decide to run away, due to Dorothy's dog Toto, biting a neighbor. Before she can get far, a tornado comes up, carried her and her house to the Technicolor world of Oz. Dorothy find out that the only way to get home is to find the Wizard (Frank Morgan). With help from Gilda, the Good Witch of the North (Billie Burke) and some new friends on the way, like Scarecrow (Ray Bolger), Tin-Man (Jack Haley) and Cowardly Lion (Bert Lehr), they make their way to the Wizard on the dangerous yellow brick road, where the Wicked Witch of the West (Margaret Hamilton) is looking for revenge for Dorothy accidentally killing her sister. All the actors were wonderful in their roles, playing multiply complex parts, bringing the comedy and music and dance alive. Still, it was bit over the top. All the actors also play the farmhands in the beginning, making you wonder if all this Oz was just a dream. That was the main different between the film and the book. There were other things that the film change, such in the case of Dorothy's age. Shirley Temple was originally wanted for the role, but since they couldn't get her. They got Judy Garland and had to change the age from 7 to 16. They even wanted the blonde curls that Temple is famous for. The wig was top heavy and kept getting mess up, so they took it out, and went with Garland's natural hair. It's creepy in a way, that Dorothy was literally based on Frank Baum's daughter that die in childbirth. Frank Baum was known for his medium spiritual belief, and you see it in the character of Professor Marvel (also Frank Morgan). It's believe that the Wizard character represent fault power leader. The Wizard can be allegory to what Baum thought was fault power leader at the time, such as President McKinley who introduce the Gold Standard, in which many historians believe was represented by the Yellow Brick Road. Oz is indeed: an abbreviation that stands for gold, a hot political topic of the day where people were rallying for fixed gold and silver ratios. Some believe that, the Wizard in the film represent Franklin D. Roosevelt who was known to make illusions to sound strong and look powerful, when trying to present the New Deal to Americans at the time. Emerald City is allegory to Washington D.C that looks like money, but in the end, the film, it was dull white. If the novel, Emerald City look was based off the White City in the 1893's Chicago World Fair. Then 1939's Emerald City was the New Deal, Washington D.C. Then, all of Dorothy's friends could be presented as Coxey's Army, an group of unemployed workers made out of farmers (Scarecrow), laborers (Tin-Man) and free silver supporters (Cowardly Lion). It is said that the Lion represents 19th century politician William Jennings Bryan, who was viewed as someone having a load roar, but no power or bite. Honestly, in the book, the Bimetallism Ruby slipper were really silver. There were a lot of things that wasn't in the film that was in the novel such as the visit to China Country, Queen of the Field Mice, the battle with Giants Spiders & Kalidahs, and the attack of the armless Qualdings. Talking about missing limbs. Civil War vets with prosthetic limbs were inspiration for the Tin-Man. There is a tale that Tin Man was indeed a munchkin named Nick Chopper. The screenwriters wanted Tin Woodman to be a hardened criminal so heartless he was sentenced to be placed in a tin suit for eternity. The torture of being encased in the suit had softened him and made him gentle and kind. Wow, that's really dark. Another dark urban legend claimed that, in the film, a Munchkin could be seen committing suicide by hanging by the neck from behind a prop tree and swinging back and forth in the left background, but it was just a bird. There were a lot of weird rewrites, like a spoiled, selfish princess in Oz outlawing music and others. The role of the Wicked Witch of the West was also enlarged for the movie. While, the Witch of the West in the novel was less evil. I think this role fit the film, well. Mad props to Hamilton for continuing the role after getting badly burn during production. There are at least 44 major differences between the book and this movie. Nevertheless, the film was far more faithful to Baum's original book. Still, they almost cut the most famous song from the movie, 'Somewhere over the Rainbow' written by E.Y 'Yip"" Harburg. Glad, they kept it. The song ""The Jitterbug,"" was instead delete. The film footage for the song been lost, but you can find the 'Jitterbug' footage rehearsals on newer DVDs version. I still dig the other songs. ""Ding! Dong! The Witch is Dead"" ""We're Off to See the Wizard"" and ""The Merry Old Land of Oz"" are some of my favorites. The movie always have great special effects, and top production value for the time. Still the story is lacking an overall moral and there were lot of not necessary extra scenes that could be cut out. Overall: a great movie that will forever be known as one of the greatest movies of all time. I have to agree."
"lauren_h7","10","8","9","16 August 2009"," Oh it always makes me cry....
","How can anyone give this film less than 10/10? This should be number one film. It's not only magical and amazing and beautiful in a colourful, feel good way, its filled with talented actors, joyful songs and amazing characters.<br/><br/>If you haven't seen it you must be mental. Go and see it. For a 1930's film the picture is amazing.<br/><br/>How it goes from a black and white old sad picture to being the most colourful, bright, energetic thing on TV.<br/><br/>Margaret Hamilton, The wicked witch of the west, once told a magazine before the film was out to stop ranting on about The Wizard Of Oz and focus on her other films as she thought the Wizard Of Oz would never make it big... Well look at it now.<br/><br/>Worth every second of watching. It seriously makes me cry thinking of how much magic it brings to my heart and the world..."
"fimimix","10","8","9","3 June 2007"," ..what else to say ?..
","No one can imagine what a sensation ""Wiz"" made at its original release. I was there - I saw it - and, quite frankly - I was not a child, even then......no one you knew had a penny, and could hardly afford the $1.25 I paid to see it. Many reviewers talk about ""65 years"", etc., much longer by now.......<br/><br/>It was sheer magic - even to older survivors of the great depression. It took many adults back to a magical dream of a childhood become too-long bleak by the lack of money, just as ""The Grapes of Wrath"" was a testament to grinding poverty. That it has preserved so many factors of life and has endured through the decades since its release, what a inspiring document to people of all ages.<br/><br/>Much has been written about the three-line process of recording color on film in the late 30s. It's this startling revelation to the eyes, this brilliance on the senses which make those films which used it so indelible on the mind and heart. This brilliance is far above the ""natural"" colors we see in today's movies.<br/><br/>Although the entire cast could hardly be assembled today, no individual's names is necessary to make ""Wiz"" the most healing-of-the-soul movie it is. No matter your age, close your eyes and it will play for you. It may be a fairytale, but if only life were more like it. Wherever, see it......."
"gcappadona","10","10","12","5 October 2014"," The Wizard of Oz Review
","The Wizard of Oz was my all time favorite movie when I was younger! After giving this movie a fresh look, after not watching it for a few years, I still noticed that there were those few parts that I absolutely loved! I think the special effects in this movie are great! I loveeeed when I was younger, and still do, the color changing horse! I also liked the entrances/exits of the Wicked Witch with the smoke/fire! Another great special effect is in the very beginning when the tornado hits and the lady is riding by on her bike, and as she passes the window, she gradually gets closer to it; at the closest point she turns into a witch. I love the fact that Dorothy's uncles in the beginning are the same characters or representative of the same characters as she finds down the yellow brick road (scare crow, tin man, and the lion). I also like the whole general meaning of the movie. I think that it is a great children movie because of this. It teaches you that you have to look within yourself to find the parts of you that you are missing; you can't just expect someone to give it to you. Overall, I love this movie!!!!!!!!!"
"chasey87","10","10","12","1 December 2007"," Magic of The Wizard of Oz Created Through Theatrical, Cinematic and Musical Effects
","The Wizard of Oz, based on the children's book by Frank Baum, was released in 1939. The screen play was written by Noel Langley and the film was directed by Victor Flemming. Judy Garland stars as the main character Dorothy Gale. Billie Burke plays Glinda the Good Witch of the North, Ray Bolger the Scarecrow, Jack Haley the Tin Woodman, Bert Lahr the Cowardly Lion, Margaret Hamilton the Wicked Witch of the West, and Frank Morgan the Wizard of Oz.<br/><br/>The story begins when Dorothy's house gets swept up in a tornado in Kansas and then lands in the magical world of Oz. When she steps outside of her house after the storm, Dorothy finds that her house has landed on the Wicked Witch of the East, and she acquires the witch's ruby slippers after she encounters the munchkins, Glinda the Good Witch, and the Wicked Witch of the West. To find her way back home to Kansas, Dorothy must travel to the Emerald City to see the Wizard of Oz. Along her way down the yellow brick road, she meets three new friends: Scarecrow, Tin Woodman, and Cowardly Lion. Together, the group reaches the Wizard and, after killing the Wicked Witch of the West, the Wizard grants the Scarecrow a brain, the Tin Woodman a heart, the Cowardly Lion courage and Dorothy a ride home to Kansas in his hot air balloon. Unfortunately, the Wizard accidentally takes off before Dorothy can get on board. Then the Good Witch of the North enters and informs Dorothy she can go home by clicking the ruby slippers together and saying ""there's no place like home."" When Dorothy returns home, she realizes she was dreaming and many of the people from her life in Kansas were the characters she met in Oz.<br/><br/>I think because the story was first adapted to the stage as a musical, the directors of the film used a combination of theatrical and cinematic effects to create the movie. I think the combination of these effects helped create the child-like whimsy of the story.<br/><br/>Many theatrical effects can be seen throughout the movie. The characters' costumes and make up, especially that of the Munchkins, the Scarecrow, the Tin man, the Lion, the trees in the forest, the witches and the flying monkeys, would also be suitable for the stage. Much of the depth in the scenes and shots that take place in Oz, such as the field of flowers leading toward the Emerald City, is created by painted backdrops and panels similar to what you would see in on-stage productions. For many scenes, the camera was also positioned to give an audience member's point of view and much of the blocking is set up similar to an on-stage production. Many of the special effects are also theatrical in nature. The melting of the wicked witch was accomplished with dry ice and a hydraulic lift that lowered the actress into the set floor, much like a trap door on a stage. The Wizard's lair was accomplished with dry ice, lighting and fire. They also created the Wizard's hot air balloon with a painted backdrop and the basket was lifted with a pulley system to give the effect that he had taken off.<br/><br/>However, many effects in the movie could only be accomplished by using cinematic techniques. Special effects such as the horse of a different color, the wicked witch's crystal ball, the good witch's pink bubble, and certain scenes with the flying monkeys could only have been created in the cinema. The director used the camera in a variation of shot angles, durations, sizes and movements to emphasize different actions and ideas that could not be highlighted as well in a stage production. The directors also used the camera to add to the mise en scÃ¨ne of certain sequences such as the shots when Dorothy is clicking the ruby slippers together and saying, ""there's no place like home."" The shot is long in duration and is a close up on Dorothy. The lens slightly blurs the focus and then eventually overlays three images together: Dorothy's face, her ruby slippers, and a starburst-like pattern. This helps add to the idea that Dorothy is crossing back into the real world from the dream world. Another major effect that was only possible in film was the switch from sepia tone to color when Dorothy leaves Kansas and enters Oz and when she returns to Kansas from Oz. This effect helps creates a distinct separation between Dorothy's real world and fantasy world.<br/><br/>Another effect that added to the whimsy of the story was the audio. The movie combines diegetic sound and non-diegetic sound to help tell the story. Diegetic sound such as the singing of the actors, ambient sound such as farm animal noises, the wind from the tornado and the Wizard's voice, and the character's dialogue were sources of sound found on the screen. Non-diegetic sound such as the musical score and some sound effects was sound that came from an off screen source.<br/><br/>A combination of theatrical, cinematic and audio effects helped make The Wizard of Oz a movie masterpiece. The costumes, blocking, special effects, camera effects and sound all play important roles in tying the story together."
"gettysburg_photos","10","12","15","22 February 2007"," Excellent fantasy
","The following is a quote from another review on here, complete with spelling errors...<br/><br/>""Hello friends. To many of you, these claims may be outrages but i hope and pray that you will take this into your heart. As many of you may know, The wizard of Oz is the classic tale of a small Kansas girl named Dorthy and her adventures in the magical land of Oz all to find a wizard who can take her home. But when you can look past all of that you can see the storys real, dark, meaning. It may shock you to know that the wicked witch of the west is actually a parody of Christianity, out cast and feared. Glenda, The good witch represents Satan, who may seem nice on the outside, but is actually out to get your soul. And of course, sweet innocent Dorthey is the modern heathen who is pulled away from Christianity by Satan. Also there is the Lion, the Tin man, and the Scare Crow an obvious mockery of the Trinity! But friends, it dose't end there, if you look closely enogh in one scene, You will see some munchkins sacrifice a virgin on an alter! I am appauld that they show this movie in schools to CHILDREN! So I urge you to throw out any Wizard of Oz related items you may have and instead READ THE BIBLE. It is a great book written by the best aurthor ever!""<br/><br/>End of quote. Whew!<br/><br/>I believe in the Bible as much as anyone, but why oh why do so many ""thumpers"" insist on ramming it down peoples throats? I suppose they don't realize they're doing the exact opposite of what they're attempting to accomplish. Good Lord, get a life.<br/><br/>The Wizard of Oz is a timeless classic. Period. End of story. Did you notice I said, story? It's a fairytale. A delightful fantasy. Nothing more, nothing less."
"Jim-Eadon","10","12","15","19 December 2005"," Enchanting, almost nostalgic art!
","With trepidation I decided to watch The Wizard Of Oz, for I have memories of it from when I was five, 32 years ago. My memory was of a flying house, and of a laughing witch, who didn't quite look like the witch I saw yesterday, but that is false memory for you! Of course yesterday I saw the movie as a hardened adult, as opposed to a pure innocent, so philosophically I am a different person. Even if there were no nostalgia in memory, there would have been, I feel sure, a sense that the morals of this movie would never be repeated today. We live in a world where even infants' dolls have been sexualised with makeup. Of course no time in history was innocent, but here we had a media that put warmth above ""cool"", charm above cynicism. There is something of a relatively European feel about Oz, a sensation I rarely see with Hollywood, with the magical The Lord Of The Rings trilogy being another example. The movie was an absolute joy to watch, such pleasure from movies is rare to be had, and I cannot recommend this enough, not just as an antidote to MTV-generation philistinism, but as a genuine work of art. No doubt much has been written on the skill and joyousness of the acting , the amazing sets, the imagination, the witty songs, the metaphors and the songs, all of which are perfect. I recommend showing this to all kids, it has so much more depth than the tacky, merchandising-driven modern stuff they ingest! And equally I recommend it to grown-ups, for we need this therapy more than the kids :)"
"GoTheDistance","9","28","41","8 November 2005"," A HUGE classic everyone should see
","This movie is creative, original, and very watchable. I first saw it 25 years ago. I was about 10 years old. I still find myself watching it every time it's on TV. It's not supposed to be realistic(obviously). It's filled with metaphors and meaning. Here's some trivia that can be missed. Repeated viewing reveals that the 3 characters that Dorothy meets are based on 3 people she knows. They are seen earlier in the movie, and are played by the same people. When re-watching, their early dialog becomes more note-worthy. <br/><br/>The music is VERY memorable. And the movie has a very popular catch phrase everyone's heard many times. Also, there was a play on PBS in '95 based on the movie and I loved it. It starred Jewel and Roger Daltry as the Tin man and he ROCKed - literally. It was classic. I like how the audience laughing added to the play. It's out on VHS."
